Year;Type;Country;Activity;Sex;Age;Fatal;Time;Species
1974;Unprovoked;ISRAEL;Swimming;F;Young adult;N;Afternoon;Medium
2013;Unprovoked;USA;Diving;F;Young adult;Y;Afternoon;Medium
1963;Unprovoked;SOUTH AFRICA;Surfing;F;Young adult;N;Afternoon;Small
1958;Provoked;USA;Diving;M;Young adult;N;Afternoon;Small
1992;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Big
2014;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Afternoon;Big
1987;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Medium
2015;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Afternoon;Medium
2012;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Afternoon;Medium
2004;Unprovoked;REUNION;Surfing;M;Young adult;N;Afternoon;Medium
2005;Unprovoked;USA;Swimming;M;Young adult;N;Afternoon;Medium
1943;Unprovoked;PANAMA;Diving;M;Young adult;Y;Afternoon;Medium
1949;Unprovoked;AUSTRALIA;Swimming;M;Young adult;Y;Afternoon;Medium
1988;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Afternoon;Small
2004;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Afternoon;Small
1982;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2002;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2007;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
1982;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;N;Afternoon;Small
2001;Unprovoked;USA;Swimming;M;Young adult;N;Afternoon;Small
2002;Unprovoked;USA;Swimming;M;Young adult;N;Afternoon;Small
1964;Unprovoked;TAIWAN;Swimming;M;Young adult;N;Afternoon;Small
1982;Unprovoked;USA;Swimming;M;Young adult;N;Afternoon;Small
2002;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Evening;Medium
2018;Unprovoked;BRAZIL;Surfing;M;Young adult;N;Evening;Small
2010;Unprovoked;AUSTRALIA;Diving;F;Young adult;N;Midday;Big
2001;Unprovoked;AUSTRALIA;Diving;F;Young adult;N;Midday;Medium
2010;Provoked;USA;Fishing;M;Young adult;N;Midday;Medium
1991;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Midday;Big
2012;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;Y;Midday;Big
2001;Unprovoked;USA;Surfing;M;Young adult;N;Midday;Medium
1939;Unprovoked;AUSTRALIA;Swimming;M;Young adult;Y;Midday;Medium
1975;Unprovoked;USA;Navigating;M;Young adult;N;Midday;Small
2003;Unprovoked;USA;Swimming;M;Young adult;N;Midday;Small
1963;Unprovoked;NEW ZEALAND;Swimming;M;Young adult;N;Midday;Small
2005;Unprovoked;USA;Surfing;F;Young adult;N;Morning;Big
2015;Provoked;USA;Fishing;M;Young adult;N;Morning;Small
1985;Provoked;SOUTH AFRICA;Fishing;M;Young adult;N;Morning;Small
2016;Provoked;AUSTRALIA;Fishing;M;Young adult;N;Morning;Small
2008;Provoked;AUSTRALIA;Swimming;M;Young adult;N;Morning;Small
1961;Unprovoked;USA;Diving;M;Young adult;N;Morning;Big
1977;Unprovoked;USA;Diving;M;Young adult;N;Morning;Big
1998;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;Y;Morning;Big
1926;Unprovoked;ITALY;Swimming;M;Young adult;Y;Morning;Big
1976;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Morning;Medium
1979;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Medium
2005;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Morning;Medium
1947;Unprovoked;USA;Swimming;M;Young adult;Y;Morning;Medium
2004;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
1995;Unprovoked;USA;Swimming;M;Young adult;N;Morning;Small
2003;Unprovoked;USA;Swimming;M;Young adult;N;Morning;Small
1959;Unprovoked;AUSTRALIA;Fishing;M;Young adult;N;Night;Small
2007;Unprovoked;USA;Swimming;M;Young adult;N;Night;Small
1990;Unprovoked;SOUTH AFRICA;Diving;F;Young adult;Y;Afternoon;Big
2006;Unprovoked;AUSTRALIA;Swimming;F;Young adult;Y;Afternoon;Medium
2007;Unprovoked;USA;Surfing;F;Young adult;N;Afternoon;Small
2001;Provoked;USA;Surfing;M;Young adult;N;Afternoon;Small
1988;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Big
2004;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;Y;Afternoon;Big
1961;Unprovoked;ITALY;Fishing;M;Young adult;N;Afternoon;Medium
1996;Unprovoked;USA;Fishing;M;Young adult;N;Afternoon;Medium
1961;Unprovoked;AUSTRALIA;Fishing;M;Young adult;N;Afternoon;Medium
2013;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Medium
2016;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Medium
1999;Unprovoked;BRAZIL;Surfing;M;Young adult;N;Afternoon;Medium
1950;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Afternoon;Medium
2006;Unprovoked;FIJI;Surfing;M;Young adult;N;Afternoon;Medium
1971;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Afternoon;Medium
2013;Unprovoked;USA;Swimming;M;Young adult;N;Afternoon;Medium
1986;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;Y;Afternoon;Medium
1912;Unprovoked;AUSTRALIA;Swimming;M;Young adult;Y;Afternoon;Medium
1951;Unprovoked;AUSTRALIA;Swimming;M;Young adult;Y;Afternoon;Medium
1958;Unprovoked;AUSTRALIA;Swimming;M;Young adult;Y;Afternoon;Medium
2011;Unprovoked;USA;Fishing;M;Young adult;N;Afternoon;Small
1988;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2001;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2002;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2006;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2012;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2015;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2015;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
1974;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Afternoon;Small
2014;Unprovoked;FRENCH POLYNESIA;Surfing;M;Young adult;N;Afternoon;Small
1967;Unprovoked;NEW ZEALAND;Swimming;M;Young adult;Y;Evening;Medium
1983;Unprovoked;USA;Surfing;M;Young adult;N;Evening;Small
1964;Unprovoked;USA;Fishing;M;Young adult;N;Midday;Big
1987;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Midday;Big
2011;Unprovoked;AUSTRALIA;Surfing;M;Young adult;Y;Midday;Big
1986;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Midday;Medium
2011;Unprovoked;NEW CALEDONIA;Fishing;M;Young adult;N;Midday;Small
1947;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;N;Midday;Small
1983;Unprovoked;AUSTRALIA;Swimming;F;Young adult;Y;Morning;Big
1963;Unprovoked;FIJI;Fishing;F;Young adult;N;Morning;Small
2018;Provoked;ENGLAND;Fishing;M;Young adult;N;Morning;Small
1992;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Big
2015;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Medium
1989;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Morning;Medium
2003;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;Y;Morning;Medium
1922;Unprovoked;AUSTRALIA;Swimming;M;Young adult;Y;Morning;Medium
1993;Unprovoked;AUSTRALIA;Fishing;M;Young adult;N;Morning;Small
1960;Unprovoked;BERMUDA;Navigating;M;Young adult;N;Morning;Small
1991;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
1996;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
1999;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
2007;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
1959;Unprovoked;USA;Swimming;M;Young adult;N;Morning;Small
1892;Provoked;AUSTRALIA;Fishing;M;Young adult;N;Night;Medium
2014;Unprovoked;USA;Navigating;F;Young adult;N;Afternoon;Medium
2014;Unprovoked;USA;Swimming;F;Young adult;N;Afternoon;Medium
1980;Unprovoked;USA;Surfing;F;Young adult;N;Afternoon;Small
2009;Unprovoked;USA;Swimming;F;Young adult;N;Afternoon;Small
2016;Unprovoked;USA;Swimming;F;Young adult;N;Afternoon;Small
1990;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Big
1992;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Big
2005;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;Y;Afternoon;Big
1959;Unprovoked;AUSTRALIA;Swimming;M;Young adult;Y;Afternoon;Big
2005;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Medium
2002;Unprovoked;BRAZIL;Surfing;M;Young adult;N;Afternoon;Medium
1998;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Afternoon;Medium
1934;Unprovoked;AUSTRALIA;Swimming;M;Young adult;N;Afternoon;Medium
1935;Unprovoked;AUSTRALIA;Surfing;M;Young adult;Y;Afternoon;Medium
1999;Unprovoked;AUSTRALIA;Surfing;M;Young adult;Y;Afternoon;Medium
1980;Unprovoked;REUNION;Fishing;M;Young adult;N;Afternoon;Small
1996;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2012;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2012;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2015;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2003;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Afternoon;Small
2010;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Afternoon;Small
1967;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Afternoon;Small
1995;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;N;Afternoon;Small
2005;Unprovoked;USA;Swimming;M;Young adult;N;Afternoon;Small
1957;Unprovoked;AUSTRALIA;Swimming;M;Young adult;N;Afternoon;Small
2015;Unprovoked;REUNION;Swimming;F;Young adult;Y;Evening;Medium
1998;Unprovoked;BRAZIL;Surfing;M;Young adult;Y;Evening;Big
2006;Unprovoked;USA;Surfing;M;Young adult;N;Evening;Medium
1974;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Evening;Small
2007;Unprovoked;USA;Surfing;M;Young adult;N;Evening;Small
2006;Unprovoked;USA;Surfing;F;Young adult;N;Midday;Small
1996;Unprovoked;USA;Surfing;M;Young adult;N;Midday;Big
1990;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Midday;Big
2011;Unprovoked;SOUTH AFRICA;Diving;M;Young adult;N;Midday;Medium
1965;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Midday;Medium
1947;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;N;Midday;Medium
1994;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;Y;Midday;Medium
2003;Unprovoked;USA;Swimming;M;Young adult;N;Midday;Small
1983;Unprovoked;USA;Diving;F;Young adult;N;Morning;Small
2015;Provoked;USA;Fishing;M;Young adult;N;Morning;Medium
1985;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Morning;Medium
1993;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Medium
2004;Unprovoked;BRAZIL;Surfing;M;Young adult;N;Morning;Medium
1961;Unprovoked;MID ATLANTIC OCEAN;Swimming;M;Young adult;N;Morning;Medium
1958;Unprovoked;AMERICAN SAMOA;Fishing;M;Young adult;Y;Morning;Medium
1961;Unprovoked;AUSTRALIA;Surfing;M;Young adult;Y;Morning;Medium
1980;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Morning;Small
1972;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
1986;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
1991;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
1994;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
2001;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
2017;Unprovoked;CUBA;Swimming;M;Young adult;Y;Night;Medium
2001;Unprovoked;USA;Swimming;F;Young adult;N;Afternoon;Big
1984;Unprovoked;USA;Surfing;F;Young adult;N;Afternoon;Small
2009;Provoked;SCOTLAND;Diving;M;Young adult;N;Afternoon;Small
2012;Provoked;USA;Fishing;M;Young adult;N;Afternoon;Small
1951;Provoked;AUSTRALIA;Surfing;M;Young adult;N;Afternoon;Small
1975;Unprovoked;USA;Diving;M;Young adult;N;Afternoon;Big
2005;Unprovoked;AUSTRALIA;Diving;M;Young adult;Y;Afternoon;Big
1990;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Afternoon;Medium
2015;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Afternoon;Medium
1991;Unprovoked;USA;Swimming;M;Young adult;N;Afternoon;Medium
1995;Unprovoked;USA;Swimming;M;Young adult;N;Afternoon;Medium
1991;Unprovoked;USA;Swimming;M;Young adult;N;Afternoon;Medium
1930;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;N;Afternoon;Medium
1978;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;Y;Afternoon;Medium
1957;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;Y;Afternoon;Medium
1997;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2000;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2007;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2014;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
1988;Unprovoked;USA;Surfing;M;Young adult;N;Evening;Small
2016;Provoked;USA;Fishing;F;Young adult;N;Midday;Small
1963;Unprovoked;AUSTRALIA;Fishing;M;Young adult;N;Midday;Big
2002;Unprovoked;AUSTRALIA;Diving;M;Young adult;Y;Midday;Big
2012;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Midday;Medium
1994;Unprovoked;USA;Surfing;M;Young adult;N;Midday;Small
2005;Unprovoked;USA;Surfing;M;Young adult;N;Midday;Small
1998;Unprovoked;MOZAMBIQUE;Surfing;M;Young adult;N;Midday;Small
1951;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;N;Midday;Small
2007;Unprovoked;NEW CALEDONIA;Swimming;F;Young adult;Y;Morning;Medium
1961;Provoked;AUSTRALIA;Fishing;M;Young adult;N;Morning;Medium
1969;Provoked;USA;Diving;M;Young adult;N;Morning;Small
1996;Unprovoked;NEW ZEALAND;Diving;M;Young adult;N;Morning;Big
1967;Unprovoked;AUSTRALIA;Fishing;M;Young adult;Y;Morning;Big
1999;Unprovoked;MARSHALL ISLANDS;Fishing;M;Young adult;N;Morning;Medium
2014;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Morning;Medium
2016;Unprovoked;EGYPT;Swimming;M;Young adult;N;Morning;Medium
2002;Unprovoked;AUSTRALIA;Swimming;M;Young adult;Y;Morning;Medium
2003;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
1932;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Night;Small
2006;Unprovoked;TONGA;Swimming;F;Young adult;Y;Afternoon;Medium
2011;Unprovoked;USA;Swimming;F;Young adult;N;Afternoon;Small
1967;Provoked;USA;Swimming;M;Young adult;N;Afternoon;Small
2002;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Medium
2013;Unprovoked;REUNION;Surfing;M;Young adult;N;Afternoon;Medium
1981;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Medium
1972;Unprovoked;MOZAMBIQUE;Surfing;M;Young adult;N;Afternoon;Medium
1980;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Afternoon;Medium
1961;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Afternoon;Medium
1965;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Afternoon;Medium
1951;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;N;Afternoon;Medium
1942;Unprovoked;AUSTRALIA;Swimming;M;Young adult;N;Afternoon;Medium
2008;Unprovoked;MEXICO;Surfing;M;Young adult;Y;Afternoon;Medium
1994;Unprovoked;REUNION;Surfing;M;Young adult;Y;Afternoon;Medium
2007;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;Y;Afternoon;Medium
1916;Unprovoked;USA;Swimming;M;Young adult;Y;Afternoon;Medium
1962;Unprovoked;BRITISH WEST INDIES;Fishing;M;Young adult;N;Afternoon;Small
1963;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Afternoon;Small
2006;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2007;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
1962;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
1963;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;N;Afternoon;Small
2010;Unprovoked;EGYPT;Swimming;M;Young adult;N;Afternoon;Small
1981;Unprovoked;USA;Surfing;M;Young adult;Y;Evening;Big
1961;Unprovoked;AUSTRALIA;Swimming;M;Young adult;N;Evening;Medium
2011;Unprovoked;AUSTRALIA;Surfing;F;Young adult;N;Midday;Medium
1962;Unprovoked;PAPUA NEW GUINEA;Fishing;M;Young adult;N;Midday;Big
1962;Unprovoked;USA;Fishing;M;Young adult;N;Midday;Medium
1998;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Midday;Medium
1992;Unprovoked;USA;Surfing;M;Young adult;N;Midday;Small
2004;Unprovoked;BRAZIL;Swimming;M;Young adult;N;Midday;Small
1989;Unprovoked;USA;Navigating;F;Young adult;Y;Morning;Big
2006;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;N;Morning;Big
2012;Unprovoked;AUSTRALIA;Surfing;M;Young adult;Y;Morning;Big
2009;Unprovoked;AUSTRALIA;Diving;M;Young adult;N;Morning;Medium
2007;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Medium
1981;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Morning;Medium
1974;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Medium
1987;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Morning;Medium
1932;Unprovoked;AUSTRALIA;Swimming;M;Young adult;N;Morning;Medium
1968;Unprovoked;NEW ZEALAND;Fishing;M;Young adult;Y;Morning;Medium
1960;Unprovoked;BERMUDA;Navigating;M;Young adult;N;Morning;Small
2016;Unprovoked;INDONESIA;Surfing;M;Young adult;N;Morning;Small
1990;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
2007;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
1983;Unprovoked;AUSTRALIA;Swimming;M;Young adult;Y;Night;Big
1996;Unprovoked;AUSTRALIA;Diving;M;Young adult;N;Night;Medium
1970;Provoked;SOUTH AFRICA;Diving;M;Young adult;N;Afternoon;Medium
1979;Provoked;SOUTH AFRICA;Fishing;M;Young adult;N;Afternoon;Medium
1991;Unprovoked;USA;Diving;M;Young adult;N;Afternoon;Big
1977;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Afternoon;Big
2009;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;Y;Afternoon;Big
1957;Unprovoked;USA;Swimming;M;Young adult;Y;Afternoon;Big
1960;Unprovoked;BERMUDA;Diving;M;Young adult;N;Afternoon;Medium
1964;Unprovoked;AUSTRALIA;Diving;M;Young adult;N;Afternoon;Medium
2017;Unprovoked;USA;Fishing;M;Young adult;N;Afternoon;Medium
1976;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Medium
1995;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Medium
1980;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Afternoon;Medium
2017;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Afternoon;Medium
1984;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Medium
1972;Unprovoked;MOZAMBIQUE;Swimming;M;Young adult;N;Afternoon;Medium
1996;Unprovoked;REUNION;Surfing;M;Young adult;Y;Afternoon;Medium
2009;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;Y;Afternoon;Medium
2012;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;Y;Afternoon;Medium
1960;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;Y;Afternoon;Medium
1955;Unprovoked;AUSTRALIA;Swimming;M;Young adult;Y;Afternoon;Medium
1937;Unprovoked;AUSTRALIA;Swimming;M;Young adult;Y;Afternoon;Medium
1963;Unprovoked;USA;Swimming;M;Young adult;Y;Afternoon;Medium
1953;Unprovoked;AUSTRALIA;Fishing;M;Young adult;N;Afternoon;Small
1990;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
1999;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2013;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2016;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
1965;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;N;Afternoon;Small
1959;Unprovoked;USA;Fishing;M;Young adult;N;Evening;Medium
2006;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Evening;Medium
1980;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;N;Evening;Medium
2011;Unprovoked;RUSSIA;Swimming;M;Young adult;N;Evening;Medium
2015;Unprovoked;USA;Surfing;M;Young adult;N;Evening;Small
1971;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;N;Evening;Small
2012;Unprovoked;USA;Surfing;M;Young adult;N;Midday;Big
1997;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;Y;Midday;Big
2002;Unprovoked;SOUTH AFRICA;Diving;M;Young adult;N;Midday;Medium
2000;Unprovoked;USA;Swimming;M;Young adult;N;Midday;Small
2000;Unprovoked;AUSTRALIA;Surfing;M;Young adult;Y;Morning;Big
1968;Unprovoked;USA;Diving;M;Young adult;N;Morning;Medium
2009;Unprovoked;AUSTRALIA;Navigating;M;Young adult;N;Morning;Medium
1988;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Medium
2013;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Medium
2015;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Medium
2018;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Medium
2013;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Medium
1940;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;Y;Morning;Medium
2011;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
1964;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Morning;Small
2006;Provoked;SOUTH AFRICA;Fishing;M;Young adult;N;Night;Small
2005;Provoked;AUSTRALIA;Fishing;M;Young adult;N;Night;Small
1952;Unprovoked;AUSTRALIA;Fishing;M;Young adult;N;Night;Medium
1950;Unprovoked;AUSTRALIA;Fishing;M;Young adult;N;Night;Small
1967;Provoked;USA;Fishing;M;Young adult;N;Afternoon;Small
1993;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Big
1994;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Afternoon;Big
1998;Unprovoked;AUSTRALIA;Diving;M;Young adult;Y;Afternoon;Big
2005;Unprovoked;AUSTRALIA;Diving;M;Young adult;Y;Afternoon;Big
1981;Unprovoked;USA;Swimming;M;Young adult;Y;Afternoon;Big
2012;Unprovoked;AUSTRALIA;Diving;M;Young adult;N;Afternoon;Medium
2006;Unprovoked;USA;Fishing;M;Young adult;N;Afternoon;Medium
2007;Unprovoked;NEW CALEDONIA;Surfing;M;Young adult;N;Afternoon;Medium
2000;Unprovoked;AUSTRALIA;Swimming;M;Young adult;N;Afternoon;Medium
1956;Unprovoked;AUSTRALIA;Swimming;M;Young adult;Y;Afternoon;Medium
1986;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Afternoon;Small
2001;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2013;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Afternoon;Small
1986;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;N;Afternoon;Small
1964;Unprovoked;NEW ZEALAND;Fishing;M;Young adult;N;Evening;Medium
1968;Unprovoked;AUSTRALIA;Fishing;M;Young adult;N;Evening;Medium
2002;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Evening;Medium
1954;Unprovoked;PAPUA NEW GUINEA;Swimming;M;Young adult;N;Evening;Medium
1998;Unprovoked;USA;Surfing;M;Young adult;N;Evening;Small
1971;Provoked;AUSTRALIA;Diving;M;Young adult;N;Midday;Medium
1990;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Midday;Big
2005;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Midday;Medium
2001;Unprovoked;MEXICO;Surfing;M;Young adult;N;Midday;Small
1993;Unprovoked;USA;Swimming;F;Young adult;N;Morning;Medium
2016;Provoked;FRENCH POLYNESIA;Fishing;M;Young adult;N;Morning;Small
1982;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Big
2004;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Big
2015;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Morning;Big
1963;Unprovoked;FEDERATED STATES OF MICRONESIA;Fishing;M;Young adult;N;Morning;Medium
1973;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Morning;Medium
2005;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Medium
1982;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
2008;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
2009;Provoked;GUAM;Fishing;M;Young adult;N;Afternoon;Small
2015;Unprovoked;USA;Fishing;M;Young adult;N;Afternoon;Medium
1978;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Afternoon;Medium
2000;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Medium
2000;Unprovoked;REUNION;Surfing;M;Young adult;N;Afternoon;Medium
1984;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Afternoon;Medium
1993;Unprovoked;AUSTRALIA;Diving;M;Young adult;Y;Afternoon;Medium
2000;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2002;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2007;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2009;Unprovoked;MOZAMBIQUE;Swimming;M;Young adult;N;Afternoon;Small
1977;Provoked;USA;Fishing;M;Young adult;N;Evening;Medium
1989;Unprovoked;AUSTRALIA;Surfing;M;Young adult;Y;Evening;Medium
1983;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Evening;Small
1961;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Evening;Small
1981;Unprovoked;SOUTH KOREA;Fishing;F;Young adult;Y;Midday;Big
1975;Unprovoked;USA;Diving;M;Young adult;N;Midday;Big
1935;Unprovoked;AUSTRALIA;Swimming;M;Young adult;Y;Midday;Medium
1963;Unprovoked;SOUTH AFRICA;Diving;M;Young adult;N;Midday;Small
1968;Provoked;AUSTRALIA;Fishing;M;Young adult;N;Morning;Medium
1950;Provoked;EL SALVADOR;Fishing;M;Young adult;N;Morning;Small
1961;Provoked;AUSTRALIA;Fishing;M;Young adult;N;Morning;Small
